election,competitive_ratio,min_elimination_margin,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,total_rankings_used,total_rankings_skipped_by_tally,total_rankings_stalled_after_winner,total_rankings_stalled_after_runner_up,total_rankings_tallied,total_ballots_with_rankings_skipped_by_tally,total_ballots_with_rankings_stalled_after_winner,total_ballots_with_rankings_stalled_after_runner_up,total_ballots_with_fav_eliminated_and_second_not_tallied,total_ballots_with_elimination_and_next_not_tallied,total_rankings_tallied_1,total_rankings_tallied_2,total_rankings_tallied_3,total_rankings_tallied_4,total_rankings_tallied_5,total_rankings_tallied_6,total_rankings_used_1,total_rankings_used_2,total_rankings_used_3,total_rankings_used_4,total_rankings_used_5,total_rankings_used_6,n_candidates,rank_limit,come_from_behind,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_undervote,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Oakland_11082022_Schoolboarddistrict4,-1,0,x,,,x,https://arxiv.org/abs/2303.05985,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genola_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehi_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab1,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab2,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payson_11052019_CityCouncil_tab3,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland_06142022_SchoolboardAL,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland_06142022_Schoolboarddistrict5,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springville_11022021_CityCouncil4yr,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab1,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vineyard_11052019_CityCouncil_tab2,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodlandHills_11022021_CityCouncil,-1,0,,,,,"This was a sequential rcv election, but I only simulated the first round",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska_20220816_USHouse_Special,0.710019915852227,5152,,,,,,,,,,411468,1406,99946,65653,234293,1406,64843,47170,38719,48374,188497,43154,2422,220,0,0,188784,138571,66008,18105,0,0,3,4,False,0,315.0,51868.0,64677.0,137521.0,4097.0,761.0,5605.0,10055.0,2777.0,192289.0,False,55519.0,2.119,"Peltola, Mary S.",3,315.0,11823.0,99.0,0.0,11099.0,625.0,0.0,0.0,0.0,74840.0,91263.0,39.557,51.452,1
Alaska_20221108_GovernorLieutenantGovernor,0,953,,,,,,,,,,569762,0,124233,173545,264605,0,75032,102280,101548,102280,263513,808,186,64,34,0,263787,178175,71022,50759,6019,0,4,5,False,0,307.0,87259.0,70175.0,177485.0,2416.0,811.0,4517.0,7350.0,1781.0,266693.0,True,47992.0,2.125,Dunleavy/Dahlstrom,1,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132779.0,132779.0,50.18,50.18,1
Alaska_20221108_HouseDistrict1,0,329,,,,,,,,,,8602,0,1047,774,6711,0,1035,752,750,752,6699,11,1,0,0,0,6702,1781,119,0,0,0,2,3,False,0,3.0,4926.0,34.0,1787.0,40.0,3.0,65.0,107.0,174.0,6888.0,True,1751.0,1.271,"Ortiz, Daniel H. ""Dan""",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.0,3520.0,52.451,52.451,1
Alaska_20221108_HouseDistrict10,0,194,,,,,,,,,,11175,0,1792,2451,6820,0,1194,1594,1581,1594,6792,23,4,1,0,0,6794,2809,1474,98,0,0,3,4,False,0,3.0,4033.0,1419.0,2788.0,52.0,7.0,55.0,112.0,330.0,7153.0,True,1383.0,1.622,"Johnson, Craig W.",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3507.0,3507.0,51.422,51.422,1
Alaska_20221108_HouseDistrict11,0.3948069241011984,113,,,,,,,,,,13124,3,2636,1934,8477,3,2063,1172,1118,1174,7645,819,9,4,0,0,7648,3782,1597,97,0,0,3,4,True,0,4.0,3945.0,1566.0,3750.0,26.0,8.0,78.0,109.0,493.0,8190.0,True,1533.0,1.696,"Coulombe, Julie",3,4.0,444.0,0.0,0.0,438.0,6.0,0.0,0.0,0.0,2987.0,3681.0,38.828,50.779,2
Alaska_20221108_HouseDistrict12,0,1166,,,,,,,,,,8179,0,1067,552,6488,0,1043,526,521,526,6477,8,3,0,0,0,6478,1584,117,0,0,0,2,3,False,0,1.0,4920.0,50.0,1569.0,42.0,1.0,40.0,82.0,285.0,6774.0,True,1509.0,1.249,"Schrage, Calvin R.",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.0,3827.0,58.986,58.986,1
Alaska_20221108_HouseDistrict13,0,278,,,,,,,,,,7065,0,855,595,5540,0,818,568,567,568,5528,11,1,0,0,0,5530,1398,137,0,0,0,2,3,False,0,3.0,4156.0,64.0,1386.0,41.0,3.0,48.0,89.0,247.0,5790.0,True,1320.0,1.261,"Josephson, Andy",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909.0,2909.0,52.509,52.509,1
Alaska_20221108_HouseDistrict14,0,1925,,,,,,,,,,7113,0,959,388,5711,0,929,375,371,375,5685,23,3,0,0,0,5686,1322,105,0,0,0,2,3,False,0,3.0,4407.0,43.0,1304.0,29.0,4.0,55.0,83.0,441.0,6155.0,True,1251.0,1.235,"Galvin, Alyse S.",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3818.0,3818.0,66.853,66.853,1
Alaska_20221108_HouseDistrict15,0.36642027455121434,7,,,,,,,,,,12586,1,2536,1905,8040,1,2016,1101,1036,1102,7253,774,11,2,0,0,7256,3645,1557,128,0,0,3,4,True,0,6.0,3659.0,1528.0,3625.0,44.0,13.0,75.0,126.0,422.0,7709.0,True,1485.0,1.713,"McKay, Thomas W. ""Tom""",3,6.0,318.0,1.0,0.0,312.0,5.0,0.0,0.0,0.0,2825.0,3485.0,38.8,50.05,2
Alaska_20221108_HouseDistrict16,0,784,,,,,,,,,,9506,0,975,770,7706,0,941,749,747,749,7693,11,2,0,0,0,7693,1699,114,0,0,0,2,3,False,0,0,6016.0,55.0,1690.0,35.0,1.0,43.0,76.0,362.0,8068.0,True,1597.0,1.226,"Armstrong, Jennifer ""Jennie""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245.0,4245.0,55.087,55.087,1
Alaska_20221108_HouseDistrict17,0,621,,,,,,,,,,8329,0,1605,1211,5445,0,1589,1192,1190,1192,5410,27,8,0,0,0,5412,2819,98,0,0,0,2,3,False,0,6.0,2664.0,35.0,2781.0,33.0,9.0,52.0,87.0,1014.0,6465.0,True,2762.0,1.516,"Fields, William Z. ""Zack""",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.0,3033.0,55.702,55.702,1
Alaska_20221108_HouseDistrict18,0.5951742627345844,77,,,,,,,,,,3932,3,922,474,2467,3,664,272,241,275,2105,349,11,2,0,0,2107,1169,594,62,0,0,3,4,True,0,2.0,971.0,576.0,1151.0,26.0,5.0,37.0,65.0,175.0,2297.0,True,560.0,1.823,"Groh, Cliff",3,2.0,107.0,0.0,0.0,103.0,4.0,0.0,0.0,0.0,743.0,1045.0,35.047,51.913,2
Alaska_20221108_HouseDistrict19,0,1457,,,,,,,,,,4697,0,1194,401,3071,0,1180,381,378,381,3031,28,12,0,0,0,3036,1570,91,0,0,0,2,3,False,0,10.0,1512.0,34.0,1561.0,12.0,11.0,59.0,77.0,647.0,3728.0,True,1547.0,1.515,"Mina, Genevieve G.",1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264.0,2264.0,73.722,73.722,1
Alaska_20221108_HouseDistrict2,0,1190,,,,,,,,,,8909,0,1011,665,7146,0,997,647,645,647,7119,21,6,0,0,0,7120,1683,106,0,0,0,2,3,False,0,1.0,5502.0,32.0,1644.0,48.0,1.0,50.0,99.0,420.0,7567.0,True,1611.0,1.234,"Himschoot, Rebecca",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,4168.0,58.326,58.326,1
Alaska_20221108_HouseDistrict20,0,362,,,,,,,,,,10250,0,2376,2715,5024,0,1168,1547,1531,1547,4944,74,1,3,2,0,4951,2768,1393,1053,85,0,4,5,False,0,8.0,2308.0,1379.0,2721.0,40.0,27.0,135.0,190.0,437.0,5469.0,True,969.0,2.014,"Gray, Andrew T.",1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,2693.0,53.603,53.603,1
Alaska_20221108_HouseDistrict21,0,138,,,,,,,,,,8794,0,964,715,7024,0,938,694,691,694,7013,9,2,0,0,0,7016,1640,138,0,0,0,2,3,False,0,6.0,5393.0,47.0,1632.0,47.0,6.0,57.0,105.0,283.0,7313.0,True,1556.0,1.238,"Mears, Donna C.",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3581.0,3581.0,50.982,50.982,1
Alaska_20221108_HouseDistrict22,0,55,,,,,,,,,,4899,0,482,560,3781,0,468,537,536,537,3772,8,1,0,0,0,3776,1026,97,0,0,0,2,3,False,0,4.0,2778.0,37.0,1006.0,38.0,5.0,33.0,75.0,179.0,3964.0,True,970.0,1.275,"Wright, Stanley A.",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,1918.0,50.727,50.727,1
Alaska_20221108_HouseDistrict23,0,1679,,,,,,,,,,10061,0,1762,992,7277,0,1729,944,943,944,7261,13,3,0,0,0,7263,2676,122,0,0,0,2,3,False,0,3.0,4604.0,81.0,2673.0,18.0,3.0,30.0,50.0,1056.0,8336.0,True,2604.0,1.378,"Allard, Jamie",1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4478.0,4478.0,61.536,61.536,1
Alaska_20221108_HouseDistrict24,0,424,,,,,,,,,,13633,0,3130,2842,7528,0,2400,2016,2007,2016,7461,63,2,2,0,0,7469,4491,1551,122,0,0,3,4,False,0,8.0,3114.0,1512.0,4420.0,51.0,11.0,101.0,160.0,460.0,7996.0,True,1450.0,1.793,"Saddler, Dan",1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976.0,3976.0,52.816,52.816,1
Alaska_20221108_HouseDistrict25,0,4061,,,,,,,,,,10189,0,2049,748,7317,0,2025,724,721,724,7294,18,5,0,0,0,7294,2768,127,0,0,0,2,3,False,0,2.0,4568.0,48.0,2749.0,42.0,2.0,52.0,94.0,1059.0,8378.0,True,2711.0,1.382,"Johnson, DeLena M.",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.0,5689.0,77.75,77.75,1
Alaska_20221108_HouseDistrict26,0,4084,,,,,,,,,,8172,0,982,458,6636,0,955,448,447,448,6623,12,1,0,0,0,6624,1440,108,0,0,0,2,3,False,0,2.0,5234.0,37.0,1403.0,54.0,2.0,33.0,88.0,575.0,7213.0,True,1342.0,1.217,"Tilton, Cathy L.",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5360.0,5360.0,80.772,80.772,1
Alaska_20221108_HouseDistrict27,0,131,,,,,,,,,,11135,0,2574,2772,5643,0,1453,1657,1645,1657,5564,66,8,5,0,0,5575,3150,2297,113,0,0,3,4,False,0,14.0,2534.0,2207.0,3117.0,56.0,20.0,118.0,186.0,1021.0,6678.0,True,2183.0,1.945,"Eastman, David",1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,2887.0,51.161,51.161,1
Alaska_20221108_HouseDistrict28,0.6167837949565936,229,,,,,,,,,,14257,311,3607,2577,7523,309,1921,1136,1142,1399,5924,1220,365,12,2,0,5936,3624,2591,1991,115,0,4,5,False,0,13.0,2451.0,2539.0,3567.0,74.0,31.0,129.0,226.0,1075.0,7098.0,True,1855.0,2.331,"Sumner, Jesse M.",4,13.0,955.0,3.0,0.0,929.0,23.0,0.0,0.0,0.0,2202.0,3119.0,36.639,61.701,1
Alaska_20221108_HouseDistrict29,0,3615,,,,,,,,,,9416,0,1155,652,7493,0,1138,629,628,629,7485,8,0,0,0,0,7487,1816,113,0,0,0,2,3,False,0,2.0,5727.0,40.0,1767.0,62.0,4.0,26.0,92.0,725.0,8220.0,True,1717.0,1.241,"Rauscher, George",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5554.0,5554.0,74.123,74.123,1
Alaska_20221108_HouseDistrict3,0,6169,,,,,,,,,,6890,0,26,58,6781,0,26,58,58,58,6655,126,0,0,0,0,6656,234,0,0,0,0,1,2,False,0,1.0,6697.0,0,84.0,24.0,1.0,126.0,151.0,2022.0,8804.0,True,6533.0,1.012,"Story, Andrea ""Andi""",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6475.0,6475.0,95.487,95.487,1
Alaska_20221108_HouseDistrict30,0.4467333725721012,781,,,,,,,,,,13120,12,2666,2103,8115,12,2170,1618,1495,1626,7538,556,18,3,0,0,7550,4086,1335,149,0,0,3,4,False,0,12.0,3530.0,1279.0,4034.0,79.0,25.0,76.0,172.0,567.0,8135.0,True,1224.0,1.706,"McCabe, Kevin J.",3,12.0,1005.0,3.0,0.0,999.0,3.0,0.0,0.0,0.0,3395.0,3666.0,44.931,55.961,1
Alaska_20221108_HouseDistrict31,0.44095122934300685,399,,,,,,,,,,9306,13,1983,1426,5800,13,1240,1076,914,1086,5027,747,22,4,0,0,5034,2814,1350,108,0,0,3,4,False,0,9.0,2307.0,1318.0,2784.0,27.0,18.0,113.0,145.0,235.0,5330.0,True,1287.0,1.812,"Dibert, Maxine L.",3,9.0,419.0,1.0,0.0,415.0,3.0,0.0,0.0,0.0,2480.0,2592.0,48.761,55.539,1
Alaska_20221108_HouseDistrict32,0,89,,,,,,,,,,5776,0,1376,1187,3181,0,1015,756,755,756,3163,17,1,0,0,0,3168,1776,780,52,0,0,3,4,False,0,5.0,1411.0,771.0,1774.0,8.0,7.0,42.0,57.0,220.0,3406.0,True,753.0,1.805,"Stapp, Will B.",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,1635.0,51.399,51.399,1
Alaska_20221108_HouseDistrict33,0,5113,,,,,,,,,,5493,0,47,35,5385,0,47,35,35,35,5332,53,0,0,0,0,5332,161,0,0,0,0,1,2,False,0,0,5303.0,0,82.0,26.0,0,53.0,79.0,871.0,6256.0,True,5284.0,1.015,"Prax, Glenn M. ""Mike""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5249.0,5249.0,97.474,97.474,1
Alaska_20221108_HouseDistrict34,0.1620575221238938,565,,,,,,,,,,12615,2,2968,1722,7816,2,2348,1027,1008,1029,7370,440,6,0,0,0,7377,3673,1461,104,0,0,3,4,False,0,7.0,3732.0,1432.0,3654.0,40.0,10.0,46.0,95.0,303.0,7693.0,True,1386.0,1.693,"Tomaszewski, Frank J.",3,7.0,169.0,1.0,0.0,168.0,0.0,0.0,0.0,0.0,3612.0,4014.0,48.923,55.642,1
Alaska_20221108_HouseDistrict35,0,480,,,,,,,,,,14446,0,2783,4056,7482,0,1374,2421,2403,2421,7433,46,1,1,1,0,7435,3827,1806,1277,101,0,4,5,False,0,2.0,3684.0,1784.0,3799.0,39.0,12.0,112.0,158.0,394.0,7878.0,True,1200.0,1.915,"Carrick, Ashley E.",1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3981.0,3981.0,53.208,53.208,1
Alaska_20221108_HouseDistrict36,0,2292,,,,,,,,,,9293,0,943,748,7492,0,901,725,723,725,7464,19,9,0,0,0,7468,1660,165,0,0,0,2,3,False,0,5.0,5867.0,65.0,1627.0,59.0,6.0,67.0,131.0,455.0,7952.0,True,1553.0,1.225,"Cronk, Mike",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4892.0,4892.0,65.296,65.296,1
Alaska_20221108_HouseDistrict37,0,2904,,,,,,,,,,3158,0,23,22,3098,0,23,22,22,22,2963,135,0,0,0,0,2964,194,0,0,0,0,1,2,False,0,1.0,3053.0,0,45.0,14.0,1.0,135.0,150.0,566.0,3665.0,True,3023.0,1.014,"Edgmon, Bryce",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,3001.0,96.869,96.869,1
Alaska_20221108_HouseDistrict38,0,2435,,,,,,,,,,3645,0,31,217,3377,0,31,217,217,217,3155,222,0,0,0,0,3159,486,0,0,0,0,1,2,False,0,4.0,3131.0,0,248.0,13.0,4.0,222.0,239.0,382.0,3763.0,True,3125.0,1.073,"McCormick, Conrad J. ""C.J.""",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2906.0,2906.0,86.053,86.053,1
Alaska_20221108_HouseDistrict39,0,77,,,,,,,,,,5774,0,985,1046,3667,0,972,1010,1006,1010,3647,13,7,0,0,0,3659,1941,174,0,0,0,2,3,False,0,13.0,1689.0,49.0,1983.0,34.0,13.0,106.0,150.0,137.0,3817.0,True,1965.0,1.55,"Foster, Neal W.",1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.0,1872.0,51.05,51.05,1
Alaska_20221108_HouseDistrict4,0,3992,,,,,,,,,,8670,0,1276,457,6896,0,1240,435,434,435,6864,23,9,0,0,0,6866,1685,119,0,0,0,2,3,False,0,5.0,5222.0,58.0,1675.0,19.0,7.0,59.0,80.0,812.0,7713.0,True,1628.0,1.251,"Hannan, Sara",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5444.0,5444.0,78.944,78.944,1
Alaska_20221108_HouseDistrict40,0,2147,,,,,,,,,,2294,0,16,20,2241,0,16,20,20,20,2202,39,0,0,0,0,2202,92,0,0,0,0,1,2,False,0,0,2205.0,0,36.0,17.0,0,39.0,56.0,235.0,2476.0,True,2214.0,1.016,"Patkotak, Josiah B. ""Aullaqsruaq""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.0,2194.0,97.903,97.903,1
Alaska_20221108_HouseDistrict5,0,1181,,,,,,,,,,7259,0,985,812,5397,0,971,793,790,793,5376,16,5,0,0,0,5377,1779,103,0,0,0,2,3,False,0,5.0,3633.0,33.0,1764.0,35.0,7.0,53.0,89.0,587.0,5989.0,True,1737.0,1.332,"Stutes, Louise B.",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.0,3289.0,60.941,60.941,1
Alaska_20221108_HouseDistrict6,0,384,,,,,,,,,,15092,0,1693,3733,9532,0,1101,2749,2743,2749,9513,17,0,2,0,0,9518,3874,1574,126,0,0,3,4,False,0,5.0,5683.0,1528.0,3851.0,48.0,14.0,71.0,131.0,310.0,9847.0,True,1479.0,1.569,"Vance, Sarah L.",1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4958.0,4958.0,52.014,52.014,1
Alaska_20221108_HouseDistrict7,0,357,,,,,,,,,,9585,0,1304,1328,6867,0,1258,1287,1282,1287,6855,10,2,0,0,0,6862,2559,164,0,0,0,2,3,False,0,7.0,4325.0,87.0,2545.0,44.0,9.0,43.0,94.0,569.0,7443.0,True,2482.0,1.382,"Ruffridge, Justin",1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3612.0,3612.0,52.599,52.599,1
Alaska_20221108_HouseDistrict8,0,6719,,,,,,,,,,7384,0,54,81,7209,0,54,81,81,81,7150,59,0,0,0,0,7150,234,0,0,0,0,1,2,False,0,0,7074.0,0,135.0,40.0,0,59.0,99.0,1584.0,8793.0,True,7045.0,1.019,"Carpenter, Ben",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6964.0,6964.0,96.601,96.601,1
Alaska_20221108_HouseDistrict9,0,821,,,,,,,,,,11954,0,930,1120,9831,0,905,1073,1072,1073,9821,9,1,0,0,0,9824,1996,134,0,0,0,2,3,False,0,4.0,7853.0,72.0,1978.0,37.0,5.0,34.0,75.0,449.0,10284.0,True,1884.0,1.208,"Shaw, Laddie H.",1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5326.0,5326.0,54.176,54.176,1
Alaska_20221108_SenateDistrictA,0,4860,,,,,,,,,,17405,0,2664,1594,13000,0,2641,1559,1551,1559,12941,45,14,0,0,0,12945,4273,187,0,0,0,2,3,False,0,6.0,8801.0,58.0,4200.0,84.0,8.0,94.0,183.0,1449.0,14455.0,True,4156.0,1.327,"Stedman, Bert K.",1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8930.0,8930.0,68.692,68.692,1
