Vote,rank1,rank2,rank3,rank4,rank5,rank6
1001,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1002,overvote,skipped,skipped,skipped,skipped,skipped
1003,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1004,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1005,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
1006,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped
1007,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1008,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX
1009,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
1010,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1011,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1012,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1013,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1014,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped
1015,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1016,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
1017,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1018,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1019,skipped,skipped,skipped,skipped,skipped,skipped
1020,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY
1021,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH
1022,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,overvote,skipped
1023,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
1024,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1025,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
1026,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,skipped
1027,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1028,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1029,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY
1030,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1031,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR
1032,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR
1033,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1034,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,MIKE MCCURDY
1035,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1036,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY
1037,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,MIKE MCCURDY,LUKE WOJCIECHOWSKI
1038,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1039,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1040,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1041,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX
1042,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR
1043,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1044,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1045,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
1046,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES
1047,skipped,JASON TAYLOR,skipped,skipped,skipped,skipped
1048,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,MIKE MCCURDY
1049,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES
1050,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1051,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped
1052,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1053,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1054,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY
1055,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,overvote,skipped,RANDALL FOX
1056,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1057,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR
1058,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped
1059,JASON TAYLOR,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,LUKE WOJCIECHOWSKI,MIKE MCCURDY
1060,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1061,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR
1062,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1063,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
1064,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1065,JASON TAYLOR,RANDALL FOX,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1066,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR
1067,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped
1068,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped
1069,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX
1070,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX
1071,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX
1072,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped
1073,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1074,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1075,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1076,JOSIE KOVASH,JOSIE KOVASH,JOSIE KOVASH,LUKE WOJCIECHOWSKI,LUKE WOJCIECHOWSKI,LUKE WOJCIECHOWSKI
1077,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1078,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1079,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH
1080,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1081,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX
1082,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,skipped,skipped
1083,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1084,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1085,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX
1086,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1087,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1088,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR
1089,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1090,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1091,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped
1092,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped
1093,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
1094,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,JASON TAYLOR
1095,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX
1096,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR
1097,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1098,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX
1099,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX
1100,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,JOSIE KOVASH
1101,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,ANTHONY CHARLES
1102,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1103,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1104,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR
1105,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1106,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,RANDALL FOX,JASON TAYLOR,ANTHONY CHARLES
1107,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1108,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1109,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1110,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped
1111,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1112,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1113,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1114,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
1115,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1116,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1117,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1118,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1119,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1120,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1121,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH
1122,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES
1123,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1124,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1125,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped
1126,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR
1127,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1128,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,skipped,skipped
1129,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES
1130,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1131,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1132,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1133,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1134,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1135,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped
1136,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1137,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH
1138,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped
1139,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1140,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
